CustomerID,FirstName,LastName,Gender,Email,City,State,Country,JoinDate
C000001,Danielle,Johnson,,john21@example.net,New Roberttown,Colorado,Cuba,2022-09-24
C000002,Carolyn,Hoffman,Male,lrobinson@example.com,Port Lindachester,Michigan,Fiji,2022-05-06
C000003,Susan,Rogers,Male,jamesmichael@example.com,Lindsaymouth,Ohio,British Virgin Islands,2026-06-07
C000004,Nicholas,Arnold,,barbara10@example.net,Port Keith,Colorado,Timor-Leste,2022-09-24
C000005,Craig,Ramirez,Female,francisco53@example.net,Jacquelineland,Rhode Island,North Macedonia,2022-06-03
C000006,Jessica,Martin,Male,onelson@example.net,Lake Mark,Wyoming,Singapore,2021-11-05
C000007,Lydia,Trujillo,Male,nadams@example.net,Jasonfort,Montana,Turks and Caicos Islands,2026-02-20
C000008,Stephen,Baker,Male,julieryan@example.net,Hurstfurt,Mississippi,Cyprus,2026-07-22
C000009,Devon,Snyder,,callahaneric@example.org,Carlsonfurt,Missouri,Nepal,2026-07-19
C000010,Allison,Maddox,Male,frazierdanny@example.net,Kaylamouth,Delaware,French Polynesia,2023-09-28
C000011,Shawn,Mckay,,teresa28@example.org,Meaganhaven,Rhode Island,Congo,2022-05-01
C000012,Kathryn,Ryan,,georgetracy@example.org,Natashaport,Kansas,Azerbaijan,2022-10-09
C000013,Ashley,Miller,,wcabrera@example.net,East Donna,Oklahoma,Chad,2022-11-22
C000014,Monique,Henderson,Male,sarahcampos@example.net,Lake Larry,Texas,Pakistan,2023-06-08
C000015,Rachel,Hayes,,jeffreymorgan@example.net,New Jeffrey,California,Russian Federation,2024-09-21
C000016,Jeremy,Whitehead,Female,chad34@example.net,Lewisberg,Washington,Vietnam,2025-12-24
C000017,Barbara,Sanchez,Male,maguirre@example.org,Lake Ryanchester,Nebraska,Lao People's Democratic Republic,2025-11-20
C000018,Brian,Valdez,Male,brownjessica@example.org,East James,New Hampshire,Burundi,2023-09-04
C000019,Joshua,Wright,Male,ramosmichelle@example.net,North Deniseside,Alabama,Bermuda,2026-03-14
C000020,Melinda,Martin,Male,zolson@example.org,South Aaron,Missouri,Estonia,2026-03-14
C000021,Kristen,Mitchell,Male,smoore@example.org,New Jillton,West Virginia,Germany,2021-11-07
C000022,Breanna,Shaw,,brianromero@example.org,New Carlosbury,Montana,British Indian Ocean Territory (Chagos Archipelago),2026-04-11
C000023,Ashley,Riley,,harveyrobert@example.net,Sarahborough,Texas,Saint Barthelemy,2023-02-20
C000024,Joseph,Anderson,Male,stephen10@example.com,North Amandahaven,Kentucky,Bulgaria,2026-03-27
C000025,Nicole,Suarez,,justin78@example.net,Cherylhaven,Alabama,Papua New Guinea,2025-08-26
C000026,Kevin,Alvarado,Male,josephpreston@example.net,West Juan,Indiana,Saint Barthelemy,2023-04-13
C000027,Grace,Farrell,,dking@example.org,Calderonton,Alabama,Grenada,2025-06-03
C000028,Dana,Green,,barnold@example.net,North Charlesberg,Ohio,Argentina,2025-09-27
C000029,Brandi,Hernandez,,bobbydiaz@example.org,Jasonbury,Texas,Bosnia and Herzegovina,2023-05-03
C000030,Anita,Baxter,,sarayoung@example.org,South Angel,West Virginia,Uzbekistan,2023-03-24
C000031,Sarah,Pham,Female,josephcobb@example.org,Brennanfort,Iowa,Cook Islands,2025-08-25
C000032,Steven,Torres,Male,jeffreykeller@example.com,Joshualand,Wyoming,Fiji,2023-04-28
C000033,William,Frazier,Female,sheila14@example.org,Benjaminchester,Minnesota,Saint Lucia,2025-07-01
C000034,Samuel,Joyce,,cruzbarbara@example.com,Lake Ryanhaven,Ohio,Poland,2025-03-01
C000035,Judy,Lambert,Female,ryan59@example.com,Lake Rachelhaven,Maryland,Papua New Guinea,2023-08-11
C000036,Richard,Phillips,Male,jamesortega@example.com,New Ashley,Montana,Mexico,2025-09-26
C000037,Kevin,Clark,Male,steven73@example.net,Leonburgh,Texas,Belize,2022-12-26
C000038,Elizabeth,Harvey,,cardenaskaren@example.net,Jeffreyborough,Georgia,Anguilla,2021-10-18
C000039,Tracey,Carr,Female,gibsonolivia@example.net,Lake Heather,New York,Iran,2022-10-14
C000040,Diana,Smith,Female,osbornejeffery@example.net,Williamsbury,Delaware,Korea,2022-03-26
C000041,Steven,Schmidt,Female,stephanie79@example.net,Rivasside,New Hampshire,Ukraine,2022-05-12
C000042,Michelle,Cole,Male,maryramirez@example.net,Simsview,New Hampshire,Belarus,2025-02-18
C000043,Jimmy,Rogers,Male,taylorjesse@example.net,Lake Jason,Nebraska,Ireland,2023-03-22
C000044,Steven,Brown,Female,xprice@example.net,Port Nicoleshire,Missouri,Lesotho,2021-08-05
C000045,Michael,Molina,Male,vmedina@example.net,South Jeffrey,Nevada,Libyan Arab Jamahiriya,2021-09-17
C000046,Matthew,Shelton,Male,dramsey@example.org,South Brittanytown,Colorado,Norway,2023-09-17
